phase,time_s,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,stroke_volume_mL,systemic_vascular_resistance_mmHg_s_mL,blood_volume_mL,baroreceptor_heart_rate_scale,baroreceptor_heart_elastance_scale,baroreceptor_resistance_scale,baroreceptor_compliance_scale,pulse_pressure_mmHg
post,923.6999999994499,142.28784369499408,82.9380403974541,113.67387360233637,72.00175623869812,4.413229842850732,61.29336384823894,1.4957671910393777,5485.885539346487,0.9989723085704177,0.9999480963924445,0.9994762504204938,1.0001702389231293,59.34980329753998
post,924.699999999449,142.29724599559572,82.94305540245675,113.68126799069293,72.00093778981399,4.413478689432467,61.297516739522855,1.495784376655332,5485.885183493193,0.9989047114537715,0.9999446823966548,0.9994455221782691,1.0001794845102299,59.354190593138966
post,925.6999999994481,142.29876562616627,82.94814826729507,113.68291243661567,71.99989697598743,4.413290209357624,61.295785059657696,1.495871123413824,5485.883998410068,0.9987813897902608,0.999938454029811,0.9993917179002336,1.000194657885509,59.350617358871204
post,926.6999999994472,142.2976387698768,82.94843431963565,113.68191965159433,71.99859312155512,4.4131669678525975,61.295183371178574,1.4958994685772953,5485.884458778891,0.9986620076250967,0.9999324246275298,0.9993388095961773,1.000209804904876,59.34920445024116
post,927.6999999994463,142.25485470196688,82.94706775512849,113.65178981482383,71.9970506059314,4.4106378638152135,61.26136871851036,1.4963474055487465,5485.8864598187265,0.9987991093901264,0.9999393489590973,0.9993895801773888,1.0001990472650388,59.30778694683839
post,928.6999999994454,142.28744938550003,82.94066329947172,113.67468426723867,71.99510933152317,4.412564476956787,61.2897809021694,1.4960068545179497,5485.889616487447,0.9988278251901116,0.999940799252026,0.9993974747035426,1.0001988005503364,59.3467860860283
post,929.6999999994445,142.29679678057812,82.94571692338666,113.68203964409031,71.99413519433912,4.412799692400288,61.29387734832135,1.496028085219528,5485.890194276644,0.998762170258361,0.9999374833463823,0.9993672449769168,1.0002081005580292,59.351079857191465
post,930.6999999994435,142.29821581480246,82.95075936541345,113.68360067068954,71.9929428341619,4.41259933024814,61.29210942817975,1.496117709631912,5485.888930270827,0.998638986086002,0.9999312619235359,0.9993132298128289,1.00022350125998,59.347456449389014
post,931.6999999994426,142.29696913781328,82.9509739469858,113.68251106166537,71.99149268840159,4.412463914524976,61.291463056937836,1.4961488472808346,5485.889035462121,0.9985197296509806,0.9999252388712617,0.9992601152201075,1.0002388724960476,59.34599519082748
post,932.6999999994417,142.26165290750313,82.94953709366541,113.6575568514758,71.98981170039842,4.410371587551384,61.26383002508916,1.4965191785943732,5485.8907539252,0.9986052574690817,0.9999295584580341,0.9992896400229833,1.0002336373134053,59.31211581383772
post,933.6999999994408,142.2852076712583,82.94278516043957,113.67391149659485,71.98735738115097,4.4117797380649995,61.28547981982418,1.4962653575277034,5485.893794167026,0.9986383127851115,0.9999312279184396,0.9992987208120273,1.0002333473430813,59.34242251081872
post,934.6999999994399,142.29409809542443,82.9466759023025,113.68082248745165,71.98618225924994,4.4120239429471795,61.28987264608343,1.496277430059387,5485.89546307849,0.9985939311351707,0.9999289864209682,0.9992766206285152,1.0002408454633889,59.34742219312193
post,935.699999999439,142.29566452113218,82.95164419363654,113.68254774168288,71.98484773357464,4.4118162364430225,61.28812347803712,1.4963717614422178,5485.8943440251105,0.998491328017133,0.99992380444531,0.9992306179886604,1.0002544341637656,59.34402032749564
post,936.6999999994381,142.29475881043152,82.95218455649238,113.68181200508992,71.98330493808356,4.411669658105036,61.287400764659715,1.4964114939796087,5485.8940809047635,0.9983875284591149,0.99991856204339,0.9991835766937238,1.0002684454529776,59.342574253939134
post,937.6999999994372,142.265782406721,82.95115722812305,113.66137510441838,71.98156864617452,4.409921690258609,61.26459555133598,1.4967266094318132,5485.895500093899,0.9984431716845471,0.9999213723073003,0.9992008256953409,1.0002664443247056,59.31462517859795
post,938.6999999994363,142.28280033458688,82.94476618758962,113.67313737983568,71.97886454694552,4.410926541488238,61.28085750243221,1.49654706303722,5485.898307108651,0.9984825673860741,0.9999233619891956,0.9992121719907525,1.0002657771846013,59.33803414699726
post,939.6999999994354,142.29164958456172,82.94802074927655,113.67997227785959,71.97761550468398,4.411187014090577,61.285539721769695,1.4965525501659842,5485.9009217380735,0.9984566973835753,0.999922055423413,0.9991973492372324,1.0002716218167873,59.34362883528517
post,940.6999999994345,142.29354227783554,82.95312752183413,113.6820018354859,71.97624761540766,4.410981533922798,61.28384960399849,1.4966502864011706,5485.900212286368,0.9983690339172476,0.9999176279756185,0.9991573059671937,1.0002838544891741,59.34041475600141
post,941.6999999994335,142.29302010489047,82.95402808790104,113.6816323770429,71.97470059392998,4.4108334546461245,61.28310945718771,1.496695537875847,5485.899595451052,0.9982745036393647,0.9999128537191595,0.9991140170106548,1.0002970388693584,59.33899201698944
post,942.6999999994326,142.26830942600262,82.95335352621812,113.66424116974535,71.97297825103934,4.409317493851364,61.26351307113917,1.4969735375945008,5485.900697302875,0.9983079468820156,0.9999145427718186,0.9991222694057217,1.000297404637241,59.31495589978449
post,943.6999999994317,142.2780407722434,82.94097907571955,113.66960837757513,71.97152144169692,4.410313395135958,61.27859057014223,1.4967090787767117,5485.903254958755,0.998349387845643,0.9999166357497795,0.9991343288143572,1.0002966974197651,59.33706169652385
post,944.6999999994308,142.28989341308846,82.95000344090062,113.679775719768,71.96892755253785,4.410342043740966,61.28119722947634,1.4968394692594382,5485.90648401735,0.9983349453273359,0.9999159063296631,0.9991240606468736,1.0003015278932348,59.33988997218785
post,945.6999999994299,142.29204225525487,82.95522588421545,113.68203048640667,71.96756457723743,4.410142118288106,61.27957982453372,1.4969384131407257,5485.906442941795,0.9982553142205578,0.9999118845565935,0.999087273624982,1.0003130510403744,59.33681637103942
post,946.699999999429,142.2917700185844,82.95635776268607,113.6818910585375,71.96603446748854,4.409995671025573,61.27884777391531,1.496986270693535,5485.90557933748,0.9981647492737032,0.999907310569379,0.9990456383093691,1.0003259143380454,59.33541225589833
post,947.6999999994281,142.26982252718642,82.95588445228812,113.66646097300747,71.96433481316369,4.408633317981532,61.261364110810995,1.4972389819850953,5485.906346137123,0.9981809551182802,0.999908129046378,0.9990469381426333,1.000328118315985,59.3139380748983
post,948.6999999994272,142.27698936878116,82.9448938493514,113.67019975399738,71.96285831407232,4.409419656656404,61.2735480490794,1.4970234328029433,5485.908638988794,0.9982214598636433,0.999910174740588,0.9990585584266891,1.0003276377667816,59.33209551942976
post,949.6999999994263,142.28850774768264,82.95225795722807,113.67989380569378,71.96024440208681,4.40950417804602,61.2769483300719,1.4971284412130528,5485.912089663668,0.9982162581889956,0.9999099120297473,0.9990519935198762,1.000331650432424,59.33624979045457
