target_systolic_mmHg,target_diastolic_mmHg,lookup_reachable,resistance_multiplier,compliance_multiplier,estimated_systolic_mmHg,estimated_diastolic_mmHg,estimated_systolic_residual_mmHg,estimated_diastolic_residual_mmHg,estimated_euclidean_residual_mmHg,validation_status,restabilization_wall_s,achieved_systolic_mmHg,achieved_diastolic_mmHg,achieved_map_mmHg,achieved_pulse_pressure_mmHg,achieved_heart_rate_per_min,achieved_cardiac_output_L_min,achieved_systolic_residual_mmHg,achieved_diastolic_residual_mmHg,achieved_euclidean_residual_mmHg,validated_within_tolerance
140,60,False,,,,,,,,,,,,,,,,,,,False
140,65,False,,,,,,,,,,,,,,,,,,,False
140,70,False,,,,,,,,,,,,,,,,,,,False
140,75,False,,,,,,,,,,,,,,,,,,,False
140,80,True,1.4868038628134888,0.5159186357874086,140.0,79.99999999999999,0.0,-1.4210854715202004e-14,1.4210854715202004e-14,ok,211.24820327805355,140.03021579462694,80.13978667050492,111.31780792048319,59.89067655104957,72.01218782821446,4.611236653001531,0.03021579462694035,0.13978667050491822,0.14301506038102424,True
140,85,True,1.5902545101622105,0.548401080453838,140.00219191529848,85.001980288013,0.002191915298482172,0.001980288013001541,0.0029539860003320565,ok,171.50498225912452,139.99942485052446,85.01040207125861,113.48002905883817,54.98980732799219,72.01168648846917,4.427334723161138,-0.0005751494755372732,0.01040207125861059,0.010417959655730257,True
140,90,False,,,,,,,,,,,,,,,,,,,False
140,95,False,,,,,,,,,,,,,,,,,,,False
140,100,False,,,,,,,,,,,,,,,,,,,False
140,105,False,,,,,,,,,,,,,,,,,,,False
140,110,False,,,,,,,,,,,,,,,,,,,False
140,115,False,,,,,,,,,,,,,,,,,,,False
140,120,False,,,,,,,,,,,,,,,,,,,False
140,125,False,,,,,,,,,,,,,,,,,,,False
145,45,False,,,,,,,,,,,,,,,,,,,False
145,50,False,,,,,,,,,,,,,,,,,,,False
145,55,False,,,,,,,,,,,,,,,,,,,False
145,60,False,,,,,,,,,,,,,,,,,,,False
145,65,False,,,,,,,,,,,,,,,,,,,False
145,70,False,,,,,,,,,,,,,,,,,,,False
145,75,False,,,,,,,,,,,,,,,,,,,False
