domain,target_systolic_mmHg,target_diastolic_mmHg,lookup_reachable,resistance_multiplier,compliance_multiplier
calibration_extended,145,90,True,1.8491251114597962,0.5087594294524327
calibration_extended,145,95,False,,
calibration_extended,145,100,False,,
calibration_extended,145,105,False,,
calibration_extended,145,110,False,,
calibration_extended,145,115,False,,
calibration_extended,145,120,False,,
calibration_extended,145,125,False,,
calibration_extended,145,130,False,,
calibration_extended,145,135,False,,
calibration_extended,145,140,False,,
calibration_extended,150,40,False,,
calibration_extended,150,45,False,,
calibration_extended,150,50,False,,
calibration_extended,150,55,False,,
calibration_extended,150,60,False,,
calibration_extended,150,65,False,,
calibration_extended,150,70,False,,
calibration_extended,150,75,False,,
calibration_extended,150,80,False,,
calibration_extended,150,85,True,1.8424098725639342,0.4135149322172339
calibration_extended,150,90,False,,
calibration_extended,150,95,False,,
calibration_extended,150,100,False,,
calibration_extended,150,105,False,,
calibration_extended,150,110,False,,
calibration_extended,150,115,False,,
calibration_extended,150,120,False,,
calibration_extended,150,125,False,,
calibration_extended,150,130,False,,
calibration_extended,150,135,False,,
calibration_extended,150,140,False,,
calibration_extended,155,40,False,,
calibration_extended,155,45,False,,
calibration_extended,155,50,False,,
calibration_extended,155,55,False,,
calibration_extended,155,60,False,,
calibration_extended,155,65,False,,
calibration_extended,155,70,False,,
calibration_extended,155,75,False,,
calibration_extended,155,80,False,,
calibration_extended,155,85,False,,
calibration_extended,155,90,False,,
